boro,cuisine type,grade,count
0,3,A,1
0,21,A,1
0,36,A,3
0,50,-2,3
Bronx,2,A,8
Bronx,2,B,1
Bronx,4,P,1
Bronx,5,A,1
Bronx,6,-2,4
Bronx,6,A,169
Bronx,6,B,10
Bronx,6,C,2
Bronx,6,P,16
Bronx,7,-2,2
Bronx,7,A,42
Bronx,7,B,3
Bronx,7,C,1
Bronx,7,P,10
Bronx,8,-2,2
Bronx,8,A,23
Bronx,9,-2,1
Bronx,9,A,2
Bronx,11,-2,1
Bronx,11,A,51
Bronx,11,B,1
Bronx,11,C,1
Bronx,11,P,6
Bronx,12,A,66
Bronx,13,-2,1
Bronx,13,A,82
Bronx,13,B,6
Bronx,13,C,5
Bronx,13,P,23
Bronx,15,A,2
Bronx,15,B,1
Bronx,16,A,2
Bronx,17,-2,1
Bronx,17,A,36
Bronx,17,B,2
Bronx,17,C,1
Bronx,17,P,4
Bronx,18,A,5
Bronx,18,B,2
Bronx,18,P,1
Bronx,19,A,1
Bronx,20,-2,1
Bronx,20,A,21
Bronx,20,B,3
Bronx,20,C,1
Bronx,20,P,3
Bronx,21,A,1
Bronx,22,A,1
Bronx,22,P,1
Bronx,23,A,1
Bronx,25,A,3
Bronx,28,A,1
Bronx,31,A,5
Bronx,32,A,9
Bronx,32,P,1
Bronx,33,A,3
Bronx,34,-2,1
Bronx,34,A,34
Bronx,34,B,2
Bronx,34,P,3
Bronx,35,A,1
Bronx,36,-2,10
Bronx,36,A,341
Bronx,36,B,11
Bronx,36,C,1
Bronx,36,P,43
Bronx,39,A,5
Bronx,39,B,1
Bronx,39,P,1
Bronx,40,-2,4
Bronx,40,A,250
Bronx,40,B,14
Bronx,40,C,4
Bronx,40,P,15
Bronx,42,A,2
Bronx,46,-2,8
Bronx,46,A,120
Bronx,46,B,22
Bronx,46,C,3
Bronx,46,P,27
Bronx,47,A,16
Bronx,47,B,4
Bronx,47,C,2
Bronx,47,P,6
Bronx,48,-2,1
Bronx,48,A,58
Bronx,48,B,3
Bronx,48,P,1
Bronx,50,-2,97
Bronx,50,A,8
Bronx,50,B,1
Bronx,50,P,2
Bronx,51,A,8
Bronx,51,B,1
Bronx,52,-2,10
Bronx,52,A,77
Bronx,52,B,20
Bronx,52,C,3
Bronx,52,P,22
Bronx,53,A,4
Bronx,53,B,1
Bronx,53,P,1
Bronx,54,-2,1
Bronx,54,A,4
Bronx,54,P,3
Bronx,55,A,5
Bronx,55,P,1
Bronx,59,A,1
Bronx,60,A,5
Bronx,61,A,13
Bronx,61,B,1
Bronx,61,C,1
Bronx,61,P,1
Bronx,62,-2,2
Bronx,62,A,98
Bronx,62,B,12
Bronx,62,C,2
Bronx,62,P,13
Bronx,65,A,8
Bronx,66,A,43
Bronx,66,B,1
Bronx,67,A,1
Bronx,67,P,2
Bronx,68,-2,1
Bronx,68,A,7
Bronx,68,P,1
Bronx,73,-2,1
Bronx,73,A,20
Bronx,75,A,23
Bronx,75,P,5
Bronx,76,-2,1
Bronx,76,A,70
Bronx,76,B,2
Bronx,76,C,1
Bronx,76,P,3
Bronx,77,A,3
Bronx,77,B,1
Bronx,77,P,1
Bronx,78,-2,3
Bronx,78,A,86
Bronx,78,B,9
Bronx,78,C,1
Bronx,78,P,13
Bronx,81,A,6
Bronx,81,B,1
Bronx,82,A,1
Brooklyn,0,A,1
Brooklyn,1,A,7
Brooklyn,2,A,21
Brooklyn,2,B,1
Brooklyn,2,C,1
Brooklyn,2,P,2
Brooklyn,3,A,1
Brooklyn,4,-2,4
Brooklyn,4,A,37
Brooklyn,4,B,1
Brooklyn,4,C,1
Brooklyn,4,P,8
Brooklyn,5,-2,2
Brooklyn,5,A,39
Brooklyn,5,B,4
Brooklyn,5,P,4
Brooklyn,6,-2,9
Brooklyn,6,A,268
Brooklyn,6,B,9
Brooklyn,6,C,2
Brooklyn,6,P,29
Brooklyn,7,-2,3
Brooklyn,7,A,96
Brooklyn,7,B,11
Brooklyn,7,C,4
Brooklyn,7,P,15
Brooklyn,8,A,31
Brooklyn,8,B,2
Brooklyn,8,P,4
Brooklyn,9,A,10
Brooklyn,9,B,1
Brooklyn,9,P,2
Brooklyn,10,A,4
Brooklyn,11,-2,18
Brooklyn,11,A,413
Brooklyn,11,B,14
Brooklyn,11,P,25
Brooklyn,12,-2,2
Brooklyn,12,A,120
Brooklyn,12,C,1
Brooklyn,12,P,2
Brooklyn,13,-2,21
Brooklyn,13,A,238
Brooklyn,13,B,20
Brooklyn,13,C,9
Brooklyn,13,P,41
Brooklyn,14,A,1
Brooklyn,15,-2,1
Brooklyn,15,A,3
Brooklyn,15,P,1
Brooklyn,16,-2,1
Brooklyn,16,A,43
Brooklyn,16,B,4
Brooklyn,16,C,1
Brooklyn,16,P,3
Brooklyn,17,-2,5
Brooklyn,17,A,96
Brooklyn,17,B,3
Brooklyn,17,P,5
