camis,dba,boro,building,street,zipcode,phone,cuisine type,latitude,longitude,current_grade
30075445,MORRIS PARK BAKE SHOP,Bronx,1007,MORRIS PARK AVE,10462.0,7188924968,13,40.848231224526,-73.85597188993201,A
30112340,WENDY'S,Brooklyn,469,FLATBUSH AVENUE,11225.0,7182875005,74,40.662651518808,-73.962081374927,A
30191841,DJ REYNOLDS PUB AND RESTAURANT,Manhattan,351,WEST   57 STREET,10019.0,2122452912,26,40.767325711553,-73.984310423617,A
40356018,RIVIERA CATERERS,Brooklyn,2780,STILLWELL AVENUE,11224.0,7183723031,42,40.579920366974,-73.98209024916,A
40356483,WILKEN'S FINE FOOD,Brooklyn,7114,AVENUE U,11234.0,7184443838,80,40.620111590927,-73.906989489698,A
40356731,TASTE THE TROPICS ICE CREAM,Brooklyn,1839,NOSTRAND AVENUE,11226.0,7188560821,2,40.640795017461,-73.948487981531,A
40357217,WILD ASIA,Bronx,2300,SOUTHERN BOULEVARD,10460.0,7182207846,42,40.850555961413,-73.882451432726,A
40359480,1 EAST 66TH STREET KITCHEN,Manhattan,1,EAST   66 STREET,10065.0,2128793900,42,40.768546914232004,-73.969580578452,A
40359705,NATHAN'S FAMOUS,Brooklyn,1310,SURF AVENUE,11224.0,7183332202,78,40.575536869421,-73.981652264112,A
40360045,SEUDA FOODS,Brooklyn,705,KINGS HIGHWAY,11223.0,7183751500,18,40.606186921432,-73.965466445897,A
40360076,CARVEL ICE CREAM,Brooklyn,203,CHURCH AVENUE,11218.0,7184389501,2,40.643329721911,-73.978188715503,A
40361322,CARVEL ICE CREAM,Queens,26515,HILLSIDE AVENUE,11004.0,7183430392,2,40.738367959933,-73.70351064970299,A
40361618,SAL'S DELI,Queens,12908,20 AVENUE,11356.0,7186619498,80,40.781673836068,-73.83941597683099,A
40361998,STEVE CHU'S DELI & GROCERY,Queens,3406,10 STREET,11106.0,7187268888,80,40.764571212477996,-73.938825461701,A
40362264,P & S DELI GROCERY,Manhattan,730,COLUMBUS AVENUE,10025.0,2129323030,42,40.792620635885,-73.96770961573002,A
40362274,ANGELIKA FILM CENTER,Manhattan,18,WEST HOUSTON STREET,10012.0,2129952570,42,40.725743617441,-73.997478107592,P
40362432,HO MEI RESTAURANT,Queens,10305,37 AVENUE,11368.0,7187796903,61,40.753305911581,-73.864295375778,A
40362715,THE COUNTRY CAFE,Manhattan,60,WALL STREET,10005.0,3474279132,60,40.70590688061,-74.00860938335,B
40362869,SHASHEMENE INT'L RESTAURANT,Brooklyn,195,EAST   56 STREET,11203.0,3474300871,31,40.651983222786,-73.924574944152,A
40363098,DUNKIN',Brooklyn,56,COURT STREET,11201.0,7186252068,77,40.692163791677,-73.991172430005,A
40363298,CAFE METRO,Manhattan,625,8 AVENUE,10018.0,2127149342,42,40.756185423077,-73.99056473378498,-2
40363426,LEXLER DELI,Manhattan,405,LEXINGTON AVENUE,10174.0,2126870820,60,40.751816337574,-73.975760108448,A
40363427,BAGELS N BUNS,Staten Island,2491,VICTORY BOULEVARD,10314.0,7187611900,80,40.610267863828,-74.146401210286,A
40363565,HOT BAGELS,Queens,7905,METROPOLITAN AVENUE,11379.0,7183268510,57,40.71320780297,-73.8741022867,A
40363630,LORENZO & MARIA'S KITCHEN,Manhattan,1418,THIRD AVENUE,10028.0,2127941080,76,40.775281106430995,-73.95657589237,A
40363685,BERKELEY,Manhattan,437,MADISON AVENUE,10022.0,2128328121,42,40.757511728367,-73.975826609964,A
40363834,CARVEL ICE CREAM,Staten Island,1111,HYLAN BOULEVARD,10305.0,7188167807,2,40.598553130746005,-74.07964600817701,A
40363920,NEW GOLDEN BILLION,Brooklyn,976,RUTLAND ROAD,11212.0,7187357707,61,40.662140594575,-73.92718021322,A
40363945,DOMINO'S,Manhattan,148,WEST   72 STREET,10023.0,2125010200,55,40.778073572726996,-73.980401099931,A
40364179,SPOONBREAD TOO,Manhattan,364,WEST  110 STREET,10025.0,2128656744,62,40.80137126967,-73.96015994361,P
40364220,KOSHER BAGEL HOLE,Brooklyn,1423,AVENUE J,11230.0,7182584150,18,40.625111128727,-73.96203433936499,A
40364286,PLAZA BAGELS & DELI,Staten Island,73,NEW DORP PLAZA,10306.0,7183513906,57,40.573454939433,-74.117663763468,A
40364296,HAPPY GARDEN,Bronx,277,EAST KINGSBRIDGE ROAD,10458.0,7182955588,61,40.863648812188,-73.894239617341,A
40364299,B & M HOT BAGEL & GROCERY,Staten Island,203,GIFFORDS LANE,10308.0,7189668445,80,40.556236875098,-74.15251526311,A
40364305,PHILADELPHIA GRILLE EXPRESS,Brooklyn,10004,4 AVENUE,11209.0,7182380747,32,40.612722489797,-74.03375177182201,A
40364335,PETER LUGER STEAKHOUSE,Brooklyn,178,BROADWAY,11211.0,7183877400,82,40.709979804558,-73.962512437328,A
40364347,METROPOLITAN CLUB,Manhattan,1,EAST   60 STREET,10022.0,2128387400,42,40.764795521845,-73.97230783434,A
40364362,21 CLUB,Manhattan,21,WEST   52 STREET,10019.0,2125827200,42,40.7604078386,-73.977753157345,A
40364363,MANHEM CLUB,Bronx,658,CLARENCE AVE,10465.0,7188228965,42,40.828697458026,-73.814282394769,A
40364373,ISLE OF CAPRI RESTURANT,Manhattan,1028,3 AVENUE,10065.0,2127581902,44,40.76270773611,-73.965749576014,P
40364389,OLD TOWN BAR & RESTAURANT,Manhattan,45,EAST   18 STREET,10003.0,2125296732,42,40.73759507351,-73.989647208522,A
